username,community,pagerank,betweenness,in_degree,out_degree,narrative_similarity,tweet_frequency,reply_ratio,is_buzzer
Christ_Aysay,1,0.0007796825227094,0.0,0,1,0.25457401781441,1,1.0,0
wiendasy,1,0.0007796825227094,0.0,0,1,0.1477433511145379,1,1.0,0
sanpisan,1,0.0007796825227094,0.0,0,1,0.102626310208704,1,1.0,0
riksayuda,1,0.0007796825227094,0.0,0,1,0.0948942493922739,1,1.0,0
measme99,1,0.0007796825227094,0.0,0,1,0.1237297934518909,1,1.0,0
WiedWahyu,1,0.0007796825227094,0.0,0,1,0.1220614539814918,1,1.0,0
Tristan_vensha,120,0.0007796825227094,0.0,0,1,0.1889052078766981,2,0.5,0
kayrdianx,1,0.0007796825227094,0.0,0,1,0.1365015997721392,1,1.0,0
barbarandu,120,0.0007796825227094,0.0,0,1,0.2005422657907124,2,0.5,0
wagaqud,120,0.0007796825227094,0.0,0,1,0.1886889875876183,2,0.5,0
ewangiggs,2,0.0007796825227094,0.0,0,2,0.171459726418025,2,1.0,0
lauravad,120,0.0007796825227094,0.0,0,1,0.1609746937000923,2,0.5,0
A_nasrudin07,116,0.0007796825227094,0.0,0,1,0.2825749508117684,1,1.0,0
Nikitajani11,120,0.0007796825227094,0.0,0,1,0.2334379827964583,2,0.5,0
SabarSoeboer,126,0.0007796825227094,0.0,0,1,0.5694986619000268,1,1.0,0
OShidiq,126,0.0021056880652928,0.0,2,0,0.5932158574699953,1,0.0,0
paizahmad,1,0.0007796825227094,0.0,0,1,0.1882706851643746,1,1.0,0
hemaviton99,127,0.0007796825227094,0.0,0,1,0.3785949861112058,1,1.0,0
PenculikBangsat,1,0.0007796825227094,0.0,0,1,0.1445768785306909,1,1.0,0
Muss_yahya,1,0.0007796825227094,0.0,0,1,0.0945781024981979,1,1.0,0
AtikahBalqis01,120,0.0007796825227094,0.0,0,1,0.3122480194099494,2,0.5,0
bachrum_achmadi,3,0.0011111839083552,0.0,1,0,0.4224270707135808,2,0.0,0
laoderendrian,1,0.0016305721251729,1.645765445508706e-06,1,1,0.1230964418853755,1,1.0,0
agus_trimaulana,128,0.0007796825227094,0.0,0,1,0.4330322095069383,1,1.0,0
jackkece1,129,0.0007796825227094,0.0,0,1,0.7310365027411965,1,1.0,0
farizaryansyah,1,0.0007796825227094,0.0,0,1,0.3233573196841915,1,1.0,0
tobaiss13,36,0.0007796825227094,0.0,0,2,0.1706287559005926,2,1.0,0
SA51sam,127,0.0007796825227094,0.0,0,1,0.3998588112527917,1,1.0,0
tommiyes,1,0.0007796825227094,0.0,0,1,0.1330934073962741,1,1.0,0
sadamhus120791,1,0.0007796825227094,0.0,0,1,0.2169594813392593,1,1.0,0
EstimatorA,1,0.0007796825227094,0.0,0,1,0.1283333427723565,1,1.0,0
IwanMuhRidwan,1,0.0007796825227094,0.0,0,1,0.1179284224972923,1,1.0,0
keepithink_crab,1,0.0007796825227094,0.0,0,1,0.1547733636621062,1,1.0,0
kangNgoding,1,0.0007796825227094,0.0,0,1,0.1104562840537775,1,1.0,0
Louis_chantika,1,0.0007796825227094,0.0,0,1,0.303769987486009,1,1.0,0
sibapaknewbie,89,0.0007796825227094,0.0,0,1,0.4382161337630934,1,1.0,0
cilok97330320,1,0.0007796825227094,0.0,0,1,0.1499809781756194,1,1.0,0
Bangomaan,1,0.0007796825227094,0.0,0,1,0.2768985285409551,1,1.0,0
ApeInAMillion,1,0.0007796825227094,0.0,0,1,0.0766591511764331,1,1.0,0
Shevtian,1,0.0007796825227094,0.0,0,1,0.146281855179274,1,1.0,0
joopi_and,130,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
